frame,timestamp_sec,valid_ratio,depth_mean_mm,depth_std_mm,depth_min_mm,depth_max_mm,depth_p25_mm,depth_p75_mm
293,19.6667,0.0333,2605.3,1338.8,515,4892,1540.0,3844.0
294,19.7334,0.0329,2573.1,1336.0,515,4892,1301.0,3612.0
295,19.8001,0.0336,2582.8,1344.3,515,4892,1301.0,3844.0
296,19.8667,0.0336,2575.4,1330.1,515,4892,1301.0,3611.0
297,19.9334,0.0341,2579.7,1328.7,515,4892,1308.0,3611.0
298,20.0001,0.0348,2593.4,1319.9,515,4892,1540.0,3605.0
299,20.0667,0.0346,2576.3,1318.9,515,4892,1540.0,3604.0
300,20.1334,0.0346,2609.2,1321.9,515,4892,1540.0,3611.0
301,20.2001,0.0354,2587.1,1328.9,515,4892,1540.0,3605.0
302,20.2667,0.0355,2574.5,1322.9,515,4892,1308.0,3604.0
303,20.3334,0.0348,2610.1,1339.4,515,4892,1540.0,3844.0
304,20.4001,0.0339,2569.1,1343.5,515,4892,1301.0,3844.0
305,20.4667,0.0335,2527.3,1343.9,515,4892,1294.0,3604.0
306,20.5334,0.0339,2546.7,1338.2,515,4892,1300.0,3604.0
307,20.6001,0.0337,2540.9,1328.0,515,4892,1300.0,3603.0
308,20.6667,0.0348,2544.5,1328.9,515,4892,1300.0,3604.0
309,20.7334,0.0349,2566.1,1337.6,515,4892,1300.0,3605.0
310,20.8001,0.0348,2551.8,1338.9,515,4892,1300.0,3605.0
311,20.8667,0.0358,2534.6,1324.7,515,4892,1300.0,3604.0
312,20.9334,0.036,2531.9,1334.6,515,4892,1300.0,3604.0
313,21.0001,0.0354,2566.5,1340.4,515,4892,1301.0,3606.0
314,21.0667,0.0359,2543.4,1332.2,515,4897,1300.0,3605.0
315,21.1334,0.0349,2564.4,1342.1,515,4892,1300.0,3612.0
316,21.2,0.0359,2557.5,1333.1,515,4892,1301.0,3605.2
317,21.2667,0.036,2549.8,1338.9,515,4892,1299.0,3605.0
318,21.3334,0.0356,2587.7,1331.6,515,4892,1302.0,3612.0
319,21.4001,0.0362,2580.9,1334.8,515,4892,1302.0,3844.0
320,21.4667,0.0358,2597.6,1333.9,515,4892,1540.0,3844.0
321,21.5334,0.0359,2561.1,1344.5,515,4892,1300.0,3606.0
322,21.6001,0.0353,2588.3,1338.7,515,4892,1301.2,3844.0
323,21.6667,0.0353,2573.2,1338.8,515,4892,1301.0,3843.0
324,21.7334,0.0345,2589.3,1330.5,515,4892,1540.0,3612.0
325,21.8001,0.0354,2599.5,1328.3,515,4892,1540.0,3844.0
326,21.8667,0.0351,2564.9,1331.6,515,4892,1301.0,3605.0
